stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,13,0,0,1,0,3,7,1,0,0
 24-34,0,0,0,0.82,0,4.1,1.64,1.64,0,0.82,0.82,0,4.93,0,3.28,32.01,0,0,0,0,0,9.85,0,0,0
 36-46,0,0,0,0,0,7.25,1.61,0,0,0,0,0.81,2.42,0,0,24.98,0,0.81,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,16.07,3.44,0,0,0,0,0.57,5.16,0.57,0.57,17.79,0.57,0,0,0,0,5.16,0.57,0,0
 60-70,0,0,0,0,0,10.8,2.94,0,0.98,0,0,0,4.91,0,0,13.74,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,0.98,5.89,5.89,0,0,0,0,0,2.94,0,0,16.69,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,11.68,2.12,0,0,0,0,0,1.06,0,0,5.31,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,4.37,1.09,0,0,0,1.09,0,2.19,0,0,4.37,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0,3.83,3.83,0,0,0,0,0,1.53,0,0,10.72,0,0,0,0,0,0,2.3,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
