stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,4,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,23,0,0,0,0,1,1,0,4,12,0,0,0,0,0
 24-34,0,0.82,1.64,0,7.39,0,0,0,0,0.82,0,0,0.82,0,8.21,0,0,4.93,56.64,0,0,0,0,2.46,0,0,1.64,18.06,0,0,2.46,0,0
 36-46,0,0,2.42,0,11.28,1.61,5.64,0,0,0,0,0,0.81,0,4.83,0,0,1.61,29,0,0,0.81,0,0,0,0,0,13.7,0,0,1.61,0,0
 48-58,0,0,0,0.57,17.21,0.57,6.31,0,0,0,0,0,1.15,0,8.03,0,0,1.15,26.4,0,0,1.15,0,3.44,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,14.72,0.98,2.94,0,0,0,0.98,0,0,0.98,2.94,0,0.98,0,18.65,0,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,0,0,2.94,0.98,15.71,1.96,6.87,0,0,0,0,0,0.98,0,18.65,2.94,0.98,0.98,37.3,0,0,0.98,0,0,0,0.98,0,2.94,0,0,1.96,0,0
 84-94,1.06,0,3.19,0,11.68,0,4.25,2.12,1.06,0,1.06,0,0,0,9.56,0,1.06,2.12,12.74,2.12,0,0,0,1.06,0,0,0,2.12,0,1.06,2.12,1.06,0
 96-106,0,0,3.28,0,24.04,0,10.93,0,0,1.09,0,1.09,0,0,9.84,0,0,2.19,28.41,0,0,0,0,3.28,0,0,0,3.28,1.09,0,0,0,0
108-118,0,0,2.3,0,9.19,0,5.36,2.3,0,0,0.77,1.53,0,0.77,14.55,0.77,0,0.77,28.34,0,1.53,1.53,0.77,1.53,0,0,0,2.3,0,0,2.3,0.77,0.77
120,0,0,5.88,0,5.88,0,7.84,3.92,0,0,0,0,0,0,13.72,0,0,0,21.56,0,0,1.96,0,5.88,0,0,0,0,0,1.96,0,0,0
