stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,0,13.14,0,0,31.54,0,0,0,2.63,0,0,0,0,0,128.81,5.26,0,0,42.06,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,31.47,0,0,0,3.15,0,0,0,0,0,198.26,12.59,0,0,84.97,0,12.59,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,0,0,1.64,0.82,0,0.82,13.13,0,0.82,0,0,0,0,1.64,3.28,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,12.09,0,0,0,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,0,0,4.59,0,0,1.15,0,0,0,0,0,1.72,6.89,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,7.85,0.98,0,1.96,0,0.98,0,0,0,0,4.91,0,0.98,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0.98,0,9.82,0,0,1.96,0,0,0,0,0,4.91,10.8,0,1.96,0.98,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,7.43,0,0,1.06,0,0,1.06,0,0,1.06,3.19,0,0,1.06,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,1.09,0,5.46,0,0,0,0,0,0,0,0,2.19,5.46,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,2.3,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,1.96,0,0,3.92,0,0,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0
