stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,42.91,612.96,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,10.51,0,0,31.54,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,244.47,10.51,0,0,86.75,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,72.38,0,0,3.15,3.15,18.88,3.15,3.15,0,0,0,0
 14-21,0,0,1,8,1,3,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,117,2,0,0,0,0,2,0,8,0,4,41,0,0,0,0
 24-34,0,0,0,1.64,0,23.8,0.82,0.82,2.46,0.82,0,0,0,0,0,0,0,22.98,0,0,10.67,238.05,0,0,1.64,0,0,0.82,0,0,0.82,0.82,50.89,0,2.46,0,0
 36-46,0,0,0,0,0.81,41.89,0,0,4.03,0,0,0,0.81,0,0,0,0.81,12.89,0.81,0,4.83,102.32,0.81,0,0,0,0,0,0,0,0,0,23.36,0,2.42,0,0
 48-58,0,0,0,1.72,0,53.94,0,0.57,9.18,0.57,0,1.15,0,0.57,0,0,0,19.51,0,2.3,1.15,67.14,0.57,0,0,0,0,0.57,0,0,0,0,13.77,0,0.57,0,0.57
 60-70,0,0,0,0.98,0.98,26.5,0,0,2.94,0,0,0,0,0,0,0.98,0,8.83,0,0,0,33.37,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,2.94,26.5,0.98,0.98,11.78,0.98,0,0,0,0,0,0,0,19.63,0,1.96,0.98,26.5,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0.98,1.96,0,0.98
 84-94,0,0,0,0,5.31,16.99,0,0,7.43,1.06,1.06,0,0,0,1.06,0,0,8.5,0,1.06,1.06,16.99,0,1.06,2.12,0,0,1.06,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,2.19,2.19,12.02,0,1.09,13.11,1.09,0,0,1.09,1.09,1.09,0,0,12.02,0,1.09,2.19,14.21,1.09,3.28,0,0,0,2.19,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,1.53,0.77,16.85,0,0.77,2.3,0.77,0,0,0,0,0.77,0,0,13.79,0,0.77,1.53,23.74,0,0,2.3,0,0.77,0.77,0,0,0.77,0,1.53,0.77,2.3,0,0.77
120,0,0,0,3.92,1.96,7.84,0,3.92,9.8,0,0,0,1.96,0,0,0,0,5.88,0,0,3.92,17.64,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
