stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,pericytes,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0.82,0,8.21,0,0.82,0,4.1,0,0.82,0
 36-46,0,0,1.61,0,0,0,0,21.75,0,0,0,3.22,0,0,0
 48-58,0,0,2.87,0.57,0,1.15,0.57,12.62,0,0,0,1.15,0,0.57,0
 60-70,0,0,10.8,0.98,0,1.96,0,42.21,0,0,0.98,0.98,0,0,0
 72-82,0,0,12.76,0,0,3.93,0,18.65,0,0,0,0,0.98,0,0
 84-94,0,0,4.25,0,1.06,2.12,0,9.56,0,0,0,1.06,0,0,0
 96-106,1.09,0,4.37,0,0,1.09,0,6.56,0,0,0,0,0,1.09,1.09
108-118,0,0,2.3,0,0,1.53,0,6.13,0,0,0,0,0,0.77,0
120,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0,0,0
