stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,1,0,2,1,0,0,1,0,15,0,0,0,0,2
 24-34,0,0.82,0,1.64,0,0,17.24,0,0,0,3.28,0,0,0,0,0,4.1,0,0,5.75,2.46,0,0,1.64,172.38,0,14.78,6.57,0,0,0,0,0,31.19,0,0,0,0,31.19
 36-46,0,0,0,0,0,0,31.42,0.81,0.81,0,11.28,0,0,0.81,0,0,10.47,0,0,8.86,6.45,0,0,0.81,261.84,0.81,10.47,7.25,0,0,0,0,0.81,51.56,0,0,0.81,0,35.45
 48-58,0,0,0,2.3,0,0,25.25,1.15,0,0,21.23,0.57,0,0.57,0,0,13.77,0.57,0,8.03,22.95,0,0.57,2.87,320.18,0.57,13.2,12.05,0,0,0,0,0,104.43,0,0,1.15,0,40.17
 60-70,0,0,0,0,0,0,41.22,1.96,0,1.96,50.06,0,0,0,0,0,23.56,0.98,0,7.85,51.04,0,1.96,4.91,587.93,0.98,4.91,19.63,0,0,1.96,0,0,103.06,0,0,0.98,0.98,33.37
 72-82,0,1.96,0,3.93,0,0,67.73,2.94,0.98,4.91,56.94,0,0.98,0,0,0,25.52,7.85,0,11.78,71.66,0,15.71,10.8,813.8,0,12.76,33.38,0,0.98,3.93,0,0,94.24,0.98,1.96,0,0.98,32.39
 84-94,0,0,0,9.56,0,0,99.83,4.25,1.06,1.06,47.79,1.06,0,1.06,1.06,2.12,32.92,3.19,0,19.12,63.72,0,8.5,14.87,470.48,0,7.43,33.99,0,0,1.06,0,0,46.73,0,1.06,0,0,26.55
 96-106,0,1.09,0,9.84,0,1.09,83.06,2.19,0,4.37,54.64,1.09,0,0,2.19,1.09,36.06,9.84,1.09,17.49,73.22,1.09,10.93,13.11,450.25,2.19,13.11,38.25,0,0,3.28,0,0,24.04,2.19,0,1.09,0,27.32
108-118,0,1.53,0,4.6,0,0,54.38,6.89,0.77,0.77,46.72,0.77,0,0,2.3,0,52.85,9.96,0,15.32,53.62,0,5.36,9.96,541.54,0.77,5.36,32.94,0,0,4.6,0,0,23.74,0.77,0,1.53,0.77,33.7
120,0,0,0,3.92,1.96,0,33.32,7.84,0,0,39.2,1.96,0,1.96,0,0,25.48,11.76,5.88,5.88,45.08,0,3.92,1.96,523.26,0,5.88,19.6,0,0,0,0,0,41.16,0,0,1.96,0,19.6
