stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,7.89,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,3,0,0,0,0,58,1,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0
 24-34,0,0,0,0.82,1.64,0.82,0,0,0,47.61,0,0,0,0,0,0,0.82,0.82,8.21,0,0,0,0,0.82,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,21.8,0,0,0,0,0,0.57,4.59,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,1.96,6.87,0,0,0.98,0,0,0,2.94,0,1.96,0,0,0,0.98,0,0,0,0
 72-82,0,0,1.96,0,0.98,1.96,0.98,0,14.72,8.83,0,0,0,0,0,1.96,14.72,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,1.06,46.73,13.81,0,0,0,0,0,2.12,21.24,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,4.37,1.09,0,0,1.09,62.29,2.19,0,0,0,0,0,2.19,28.41,0,7.65,0,0,0,3.28,0,0,0,0
108-118,0,0,0,3.06,2.3,2.3,0.77,0.77,77.36,0.77,0,0.77,0.77,0.77,0,1.53,20.68,0,5.36,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,3.92,0,0,0,23.52,0,0,0,0,0,0,0,13.72,0,9.8,0,0,0,1.96,0,0,1.96,0
