stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0.57,0,0,1.15,0,0,1.72,0,0,0,0,0,0,3.44,0
 60-70,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06,0,8.5
 96-106,0,1.09,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,1.09,24.04
108-118,0,1.53,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,11.49
120,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
