stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,169,0,0,1,0,0,1,0,0,0,0,5,0,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,123.95,0,0,1.64,0.82,0,0,1.64,0,2.46,0,4.1,1.64,0,19.7,13.13,0,0,0,0,0.82,0,0,0.82,3.28,0,0,0
 36-46,0,0,0.81,78.96,0,0,0.81,0,0,0,0.81,0,0,0,16.92,2.42,0,49.15,5.64,0.81,0,0,0,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,81.48,0,0,3.44,0.57,0.57,0.57,0,0,0,0.57,34.43,0,0,41.89,5.74,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,80.48,0,0,0.98,0,0,0,0,0,0,0,19.63,0,0,17.67,6.87,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,104.06,0,0,7.85,0,0,0.98,0.98,0,4.91,0,48.1,3.93,0,24.54,7.85,0.98,0,0,0,0,0,0,0,0,5.89,0,0.98
 84-94,0,0,0,190.1,0,0,11.68,1.06,0,2.12,4.25,0,7.43,0,31.86,0,1.06,12.74,8.5,0,1.06,0,0,2.12,0,0,0,0,14.87,0,0
 96-106,0,0,0,274.3,2.19,0,6.56,3.28,0,1.09,8.74,1.09,20.76,1.09,48.09,2.19,1.09,10.93,17.49,0,0,0,0,7.65,0,0,0,2.19,63.39,0,0
108-118,1.53,0,0,192.26,1.53,0.77,6.89,0,0,1.53,8.43,0,12.26,1.53,55.92,2.3,0,11.49,10.72,0.77,0,0,0.77,0.77,0,0.77,0,0,47.49,2.3,0
120,0,0,0,123.47,1.96,0,5.88,1.96,1.96,1.96,1.96,0,11.76,0,45.08,5.88,0,3.92,15.68,0,1.96,0,0,0,0,0,0,0,15.68,0,0
