stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,92,0,0,0,10.51,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,3.15,0,3.15,0,0,0,0,0,141.61,0,0,0,0,0,0,0,0,0,0,204.55,3.15,0,0,18.88,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,259,5,0,3,0,0,0,2,10,73,0,0,5,0,0,0,24,1,0,9,55,8,0,1,1,0,112,1,23,1,1,27,0,0,1,0,0
 24-34,0,0.82,174.84,0,0,45.15,0,4.1,0,0,2.46,4.1,1.64,0,20.52,0.82,4.1,0,18.88,13.95,0,5.75,143.65,0,3.28,9.03,0,0.82,387.44,0,0.82,0,3.28,9.85,0,0,0.82,0,1.64
 36-46,0,0.81,70.9,0,0,48.34,0,5.64,0,2.42,0.81,0.81,2.42,0,4.03,0,4.03,1.61,10.47,9.67,0,2.42,61.23,2.42,1.61,2.42,0,0.81,317.43,0,0.81,0,0,6.45,0,0,1.61,0,0
 48-58,0,1.15,59.68,0,0,65.41,0,2.3,0,2.87,0.57,2.3,2.87,0.57,3.44,0,3.44,4.02,24.67,14.92,2.3,1.15,49.92,0.57,2.3,2.87,0,0.57,221.49,0,0.57,0,0,8.61,0,0,0,0,0
 60-70,0,0,73.61,0.98,0,121.71,0,13.74,0.98,3.93,1.96,1.96,2.94,0.98,4.91,1.96,0.98,4.91,32.39,15.7,3.93,0.98,43.19,0.98,0,3.93,0,4.91,209.06,0,0.98,0,0,5.89,0.98,0,3.93,0,0
 72-82,0,0,75.59,0.98,0,249.34,0.98,3.93,0.98,7.85,11.78,2.94,8.83,0.98,3.93,0.98,1.96,1.96,52.03,29.45,0.98,0.98,92.28,0,2.94,0.98,0,7.85,231.67,0,0.98,0,0,7.85,7.85,0,2.94,0.98,0.98
 84-94,0,0,144.44,3.19,0,204.97,1.06,15.93,0,10.62,30.8,1.06,10.62,1.06,10.62,6.37,2.12,2.12,50.98,26.55,2.12,1.06,53.1,0,2.12,1.06,0,10.62,526.77,0,5.31,0,0,2.12,23.36,1.06,2.12,3.19,0
 96-106,0,0,142.07,3.28,1.09,276.49,0,9.84,1.09,16.39,22.95,0,24.04,3.28,12.02,4.37,6.56,1.09,64.48,28.41,1.09,0,87.43,0,6.56,3.28,0,10.93,485.22,0,3.28,1.09,0,5.46,48.09,2.19,10.93,1.09,0
108-118,0,0,123.32,0.77,0.77,231.32,0,9.19,0,20.68,36,0,10.72,1.53,14.55,7.66,3.06,0.77,66.64,29.11,4.6,0.77,80.43,0,2.3,3.06,0,11.49,304.85,0,6.89,0,0,2.3,60.51,0.77,9.19,2.3,0
120,0,0,139.14,3.92,0,258.69,0,17.64,1.96,9.8,27.44,0,7.84,3.92,11.76,1.96,0,1.96,37.24,15.68,5.88,0,99.95,5.88,1.96,1.96,0,17.64,309.65,0,0,0,0,3.92,19.6,1.96,7.84,1.96,0
