stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,1,0,1,4,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,2.46,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,8.21,0,1.64,34.48,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,0.81,1.61,0,0,0,0,0,0.81,0,0,4.83,0,2.42,46.73,0,0.81,0.81,0,0,1.61,0,0,0.81,0,12.89,0,0,2.42,0,0.81
 48-58,0.57,0,0,0,0,0,5.16,0,0,0,4.02,0,1.15,0,0.57,0,0,0,0,9.18,0,1.15,37.3,0.57,0,0.57,0,0,1.15,0,0,0,0,8.61,0,0.57,1.15,0,1.15
 60-70,0,0,0,1.96,0,0,34.35,0.98,0,0.98,22.58,0,0.98,0.98,0,0,0,0,0.98,77.54,0,5.89,61.84,0,0,0,0,0.98,6.87,0,0,0.98,0,13.74,0,3.93,3.93,0,0
 72-82,0,0,0,1.96,1.96,0,21.6,0.98,0,0,10.8,0,0.98,1.96,0,1.96,0.98,0,0,17.67,0,4.91,37.3,0.98,0.98,0,0,0,1.96,0,0,0,0,3.93,0.98,0,3.93,0.98,0
 84-94,0,0,0,5.31,0,0,18.05,0,1.06,0,13.81,1.06,2.12,3.19,1.06,0,1.06,0,1.06,16.99,0,0,27.61,1.06,1.06,1.06,0,0,4.25,0,1.06,0,0,3.19,1.06,0,2.12,0,1.06
 96-106,0,0,0,3.28,4.37,1.09,8.74,1.09,1.09,0,2.19,1.09,1.09,3.28,0,1.09,1.09,1.09,0,18.58,0,2.19,17.49,0,0,2.19,0,0,13.11,0,0,1.09,0,2.19,1.09,1.09,2.19,0,0
108-118,0,0,0.77,3.83,0.77,1.53,10.72,0,0,2.3,8.43,0,0,0.77,0.77,0,1.53,0,1.53,19.92,2.3,3.83,22.98,0.77,0.77,2.3,0,0,7.66,0,0.77,0.77,0,1.53,0,0,2.3,2.3,0
120,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
