stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0.81,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,0.57,0,1.15,0,1.15,0,0,0,0,0,0,0.57,0,0,6.89,0.57,0,1.15,1.15,1.15,0,0,0,17.79,0.57,0.57,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,0,13.74,0,0.98,0.98,2.94,1.96,0,0,0,19.63,0,0.98,0,0.98,0,0
 72-82,0,0.98,0,3.93,2.94,0,10.8,0.98,0.98,5.89,3.93,0.98,0,0,0.98,0,0,3.93,0.98,0,70.68,0,1.96,8.83,11.78,0,0,0,0,59.88,3.93,0.98,0,0.98,2.94,1.96
 84-94,0,0,0,14.87,1.06,2.12,7.43,0,6.37,3.19,0,4.25,0,1.06,4.25,0,1.06,2.12,3.19,0,52.04,1.06,0,4.25,4.25,2.12,0,2.12,1.06,226.21,4.25,0,0,0,8.5,7.43
 96-106,0,0,0,24.04,4.37,2.19,7.65,1.09,4.37,5.46,1.09,8.74,0,1.09,2.19,1.09,0,2.19,5.46,1.09,62.29,2.19,3.28,8.74,9.84,0,2.19,2.19,0,108.19,5.46,0,0,1.09,3.28,9.84
108-118,0,0,0,16.85,2.3,4.6,3.06,1.53,9.19,4.6,3.06,7.66,0,0.77,1.53,1.53,0,2.3,5.36,0,62.81,1.53,2.3,9.19,9.96,0.77,0.77,2.3,1.53,92.68,4.6,0,1.53,0.77,1.53,2.3
120,0,0,0,19.6,3.92,0,1.96,0,3.92,0,1.96,11.76,0,0,0,0,0,1.96,3.92,0,43.12,0,3.92,3.92,11.76,1.96,0,1.96,0,45.08,0,0,0,0,0,0
