stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,303.09,6364.94,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0
  5-6,355.52,4106.86,0,0,0,0,0,0,6.13,0,0,134.85,0,0,98.07,0,0,0,0,0,0,0
  7-9,13.14,23.66,34.17,0,0,60.46,0,0,26.29,0,0,638.78,15.77,178.75,5.26,10.51,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,3.15,22.03,0,0,6.29,0,0,157.35,6.29,88.12,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,5,1,2,1,0,0,1,3,18,4,1,3,1,4,1,1,11,12,1
 24-34,0,0,0,1.64,0,1.64,0,0,0,1.64,0,2.46,0,0,3.28,0,0,0,0,0,4.1,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0
