stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,2,0,0,0,0,1,0,19,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0.82,44.33,0,0,0,0,0.82,0,1.64,18.88,0.82,0,0,0.82,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,37.87,0,0,0,0,3.22,0.81,0.81,18.53,0,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,0,5.16,0,0.57,0.57,0,45.33,0,0,0,0,1.15,0,0,9.18,0,0,0.57,0.57,0,0,2.87,0,0,0,0
 60-70,0,0.98,0,0,4.91,0,1.96,0.98,0,59.87,0,0,0,0,1.96,0,0,7.85,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,7.85,0,0,1.96,0,50.06,0,0.98,0,0,1.96,0,2.94,11.78,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,1.06,0,0,6.37,1.06,2.12,1.06,0,95.58,0,0,0,0,2.12,0,0,5.31,1.06,0,0,0,0,0,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,112.56,0,0,1.09,0,3.28,0,0,5.46,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0.77,3.06,0,0.77,0,0,58.98,0,0,0,2.3,2.3,0,0,6.89,0,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,5.88,0,0,0,0,76.43,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
