stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,1,0,1,0
 24-34,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0.57,0,0,1.15,1.15,0,0,0,0,0,0,6.89,0,0,0.57,1.72,0,0,0,0,0,0,0,1.15,0,1.72,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,5.89,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,1.96,0,0,0,0,0,0.98,0,0.98,0.98,1.96,20.61,0,0,0.98,2.94,0,0,0.98,0,1.96,0,0,0.98,1.96,5.89,1.96
 84-94,0,3.19,0,0,1.06,2.12,1.06,3.19,0,0,0,1.06,9.56,0,0,0,2.12,2.12,0,0,0,0,0,0,0,2.12,4.25,1.06
 96-106,0,3.28,1.09,0,1.09,0,1.09,2.19,3.28,0,0,2.19,6.56,0,0,0,0,0,0,0,0,0,0,0,0,1.09,2.19,1.09
108-118,0,6.13,0,0.77,0.77,3.06,0.77,3.06,1.53,0,0,3.06,8.43,0.77,2.3,0.77,3.06,0.77,0.77,0,0,0,1.53,0,0,0,3.06,0
120,0,15.68,0,0,0,1.96,5.88,1.96,3.92,0,0,3.92,11.76,0,1.96,1.96,1.96,1.96,0,0,0,0,0,0,1.96,3.92,3.92,0
