stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0,0,0,0,4.59,0,0,1.15,6.89,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,2.94,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,67.73,5.89,0,0,0.98,0,0.98,0.98,0.98,0.98,0.98,0,9.82,0,0,0,29.45,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,137,6.37,0,0,2.12,0,0,0,0,0,0,0,5.31,1.06,1.06,1.06,31.86,0,0,0,0,1.06,1.06,1.06,1.06,0,1.06,0,0
 96-106,0,0,3.28,0,301.63,15.3,0,0,2.19,0,0,1.09,0,0,2.19,0,7.65,0,0,2.19,34.97,0,1.09,0,0,3.28,0,0,0,1.09,1.09,1.09,0
108-118,0,0,3.83,1.53,593.62,14.55,2.3,0,4.6,0.77,0,0,1.53,0,1.53,0.77,10.72,0,0.77,0.77,29.11,0,0,0,0,3.06,0,2.3,0,0.77,2.3,0,0
120,0,0,3.92,1.96,266.53,3.92,0,1.96,5.88,1.96,0,0,0,0,0,0,9.8,0,0,3.92,23.52,1.96,0,0,0,5.88,0,0,0,0,0,0,0
