stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,2,0,0,0,1,0,0,0,1,0,0,0,6,0,0
 24-34,0,0,0.82,2.46,3.28,0,0,0,0,0.82,0,0,0,2.46,0,1.64,41.86,0,19.7,9.85,0,0.82,0,0,0,0,0,0.82,2.46,0,0,13.95,0,0
 36-46,0,0,0.81,0,0,0,5.64,0,0,0.81,0,0,0,1.61,0,1.61,67.68,0,14.5,13.7,0,2.42,0,0,0,1.61,0,0,4.03,0,0,6.45,0,0
 48-58,0,0,0.57,0,2.3,0,8.61,0,0,0.57,0,0,0,0.57,0.57,0.57,53.94,2.87,11.48,13.77,0,0.57,0,0,0,0,0,0,1.15,0,0,3.44,0,0
 60-70,0.98,0,0,0,4.91,0,3.93,3.93,0,0,0,0,0,0,0,0,99.13,4.91,6.87,12.76,0,0,0.98,0,0,0,0,0,0.98,0,0,3.93,0.98,0
 72-82,0,0,0.98,0,6.87,0,8.83,3.93,0.98,0,0,0,0.98,0.98,0,0,123.69,5.89,4.91,9.82,0,1.96,0.98,0,0,0,0,0,0.98,1.96,2.94,12.76,4.91,0
 84-94,1.06,0,2.12,1.06,10.62,0,7.43,4.25,0,0,0,0,0,0,0,0,70.09,5.31,5.31,5.31,0,2.12,1.06,0,1.06,0,0,0,1.06,2.12,2.12,9.56,6.37,1.06
 96-106,0,0,5.46,1.09,0,0,3.28,4.37,0,0,0,0,0,4.37,0,0,85.24,5.46,4.37,4.37,0,1.09,0,0,0,0,1.09,0,0,0,5.46,9.84,7.65,0
108-118,0,0,1.53,0,3.06,0,4.6,3.83,0,0,0,0.77,0,1.53,0,0,69.7,1.53,6.13,6.89,0,3.06,0.77,0,3.06,0,0,0,0.77,1.53,3.06,7.66,6.89,0
120,0,0,1.96,0,1.96,1.96,7.84,3.92,0,0,3.92,0,0,0,0,0,41.16,1.96,5.88,5.88,0,3.92,0,0,0,0,0,0,0,0,3.92,5.88,1.96,0
