stage,eye,glial,gut,heart,immune,liver,mesenchyme,neural,notochord,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,1,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,9.03,3.28,0,3.28,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,10.47,0,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,16.07,0,0.57,2.3,0.57,0,0,0,0,0,0,0
 60-70,1.96,0,0,0,21.59,0,0,2.94,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,26.5,0.98,0.98,0.98,0,0.98,0,0,0,0,0,0
 84-94,1.06,0,0,0,42.48,0,1.06,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,54.64,0,0,3.28,0,0,1.09,0,0,0,1.09,0
108-118,0.77,0.77,0.77,0,36.77,0,0.77,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,37.24,0,0,1.96,0,0,0,0,0,0,0,0
