stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,4.93,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,11.28,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0.57,0,0,0.57,1.15,4.02,0,0.57,0,2.3,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,0,0,1.96,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,0,0.77,0,2.3,0,0,0,2.3,0,0,0,1.53,0
120,0,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0
