stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,taste,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,6.31,0,0,0,0,0
 60-70,0,2.94,0,0,0,0,0,0,0.98,0,0,2.94,0,0.98,0,0,7.85,0.98,0,0,0,0.98
 72-82,0,0.98,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,2.12,0,1.06,0,0,2.12,0,1.06,1.06,0,1.06,0,0,0,0,23.36,0,0,0,0,0
 96-106,0,3.28,1.09,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,17.49,0,0,0,0,0
108-118,0,1.53,0.77,0,0,0,3.06,0,1.53,0,1.53,3.06,0,0,0.77,0,12.26,1.53,0,0.77,0,0
120,0,1.96,0,0,0,0,11.76,0,0,0,0,1.96,0,0,0,0,13.72,0,0,0,1.96,0
