stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,10.67,2.46,0,0,8.21,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0.81,26.59,0,0,0,4.83,0,0
 48-58,0,4.59,0,0,0,0,0,0,0,0,0.57,0,31.56,1.72,0.57,0,9.75,0,0
 60-70,0,26.5,0,0,0.98,1.96,0,0,0.98,0,0.98,0.98,69.69,0.98,2.94,0,7.85,0,0.98
 72-82,0,50.06,0,0,0,4.91,0,0,0,0,1.96,0,44.17,3.93,4.91,0,9.82,1.96,0
 84-94,0,16.99,0,0,0,4.25,0,0,1.06,0,1.06,0,28.68,1.06,2.12,0,4.25,0,0
 96-106,0,18.58,1.09,0,0,2.19,0,1.09,6.56,1.09,1.09,0,14.21,1.09,2.19,0,1.09,0,0
108-118,0.77,15.32,0,0.77,0,2.3,0.77,0.77,2.3,0,0,0,22.98,0.77,0.77,0.77,2.3,1.53,0
120,1.96,15.68,0,0,0,5.88,1.96,0,1.96,0,0,0,37.24,1.96,5.88,0,3.92,0,0
