stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,6,28,0,0,0,1,0,0,0,1,6,0,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,3.28,0,1.64,0,1.64,0,0,0,0,0,0.82,0,28.73,0,10.67,265.14,0,1.64,1.64,0,0.82,0,0.82,0,55.82,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,11.28,0,0,0,4.03,0.81,0,0,0,0,0,0,42.7,8.06,7.25,483.4,0.81,2.42,0.81,0,0.81,0,0,0,66.06,0,0.81,0.81,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,54.51,0,1.15,0.57,10.9,0,0,0,0,0.57,0,0.57,30.99,4.02,3.44,601.35,0,0,1.72,0,0,0.57,0.57,0,43.61,0,0,0,0.57,1.15
 60-70,0,0,0.98,0,0.98,0.98,0,106.99,0,0,0.98,8.83,0,0.98,0,0,0.98,0.98,0,53.98,15.7,1.96,1091.45,0,0,4.91,0,0.98,0.98,1.96,0,53,0,6.87,0,6.87,0.98
 72-82,0,0,0,0,5.89,0,0,214,0,0.98,0.98,23.56,0.98,0,0,0,0.98,0.98,0,62.83,33.38,1.96,1314.45,0.98,0.98,5.89,0,0,0.98,1.96,0,42.21,1.96,12.76,1.96,26.5,0
 84-94,0,0,1.06,1.06,8.5,2.12,0,164.62,1.06,2.12,0,23.36,1.06,0,1.06,0,1.06,1.06,0,43.54,36.11,3.19,708.38,0,3.19,8.5,0,0,3.19,2.12,0,24.43,1.06,11.68,2.12,29.74,1.06
 96-106,0,0,1.09,0,8.74,0,0,168.3,0,2.19,1.09,31.69,2.19,1.09,0,1.09,0,4.37,1.09,45.9,21.86,2.19,632.76,3.28,2.19,16.39,0,0,4.37,0,0,8.74,0,13.11,2.19,39.34,1.09
108-118,0,0,2.3,0,6.13,3.06,0.77,130.98,0,2.3,0,17.62,1.53,0,0,0,0,1.53,1.53,32.94,13.79,3.06,729.2,0,0.77,9.19,0,0,0,1.53,0,11.49,0,5.36,1.53,13.79,3.06
120,0,0,3.92,0,13.72,1.96,0,111.71,0,0,0,13.72,3.92,0,1.96,0,0,1.96,0,50.95,21.56,0,682.01,0,0,9.8,0,3.92,3.92,0,0,13.72,0,0,0,19.6,0
