stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,2,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,10,0,0,0,0,0,3,0,2,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0.82,0,0,0,4.1,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,16.11,0,0,0,0,0.81,4.83,0,0,0,0,0,4.03,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,8.03,0,0.57,0,0,0,3.44,0,0,0,0,0.57,1.72,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,19.63,0,1.96,0,0,0,6.87,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,8.83,12.76,0,9.82,0.98,15.71,0,0,0,0,0.98,0,43.19,0,2.94,0,0,0,9.82,0,0,0,0,0.98,4.91,0,0.98,0,0,0,0,0.98
 84-94,0,1.06,0,0,2.12,21.24,6.37,0,5.31,2.12,26.55,0,0,1.06,0,0,0,129.57,0,3.19,0,0,0,10.62,0,0,0,0,1.06,5.31,0,0,0,0,0,0,0
 96-106,0,4.37,0,14.21,16.39,112.56,52.46,3.28,19.67,12.02,253.54,0,1.09,4.37,1.09,1.09,2.19,485.22,0,51.36,0,2.19,6.56,208.73,1.09,3.28,8.74,4.37,27.32,31.69,1.09,4.37,1.09,4.37,12.02,6.56,1.09
108-118,0,0.77,0,13.79,3.06,289.53,52.09,1.53,18.38,15.32,459.58,0.77,0,3.83,0.77,0.77,3.83,1147.41,1.53,41.36,2.3,1.53,5.36,175.41,1.53,0.77,3.06,0,18.38,49.02,0.77,1.53,0.77,2.3,0,0,2.3
120,0,1.96,0,9.8,3.92,84.27,31.36,1.96,27.44,9.8,293.97,0,1.96,0,0,0,1.96,437.03,1.96,35.28,0,1.96,5.88,129.35,0,0,1.96,0,13.72,21.56,0,0,0,0,1.96,0,0
