stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.3,0,0,0,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0,0.98,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0.98,0,3.93
 72-82,0,0,0,0,1.96,1.96,0,0.98,18.65,0,0,0,3.93,0,0,7.85,0.98,1.96,1.96,0,0,0,0,0,0.98,0,12.76
 84-94,0,0,1.06,0,1.06,1.06,0,1.06,9.56,0,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,13.81
 96-106,0,0,1.09,0,1.09,1.09,0,0,28.41,0,0,0,7.65,0,1.09,1.09,0,2.19,1.09,0,0,1.09,0,0,0,1.09,13.11
108-118,0,0,0,0.77,0.77,0,0.77,0,30.64,0,0.77,0.77,3.83,0.77,0.77,1.53,0,1.53,0,0,0,0,0,0,0,0,17.62
120,0,0,0,0,1.96,0,0,0,35.28,1.96,0,0,0,0,1.96,7.84,0,1.96,0,0,0,0,0,0,0,0,17.64
