stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1805.38,32444.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.46,0,0,0,0,0,0,0,0,0,0,0
  5-6,1274.96,20203.28,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,245.19,0,0,0,85.81,275.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,94.63,0,310.19,0,0,0,152.47,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,1703.41,149.84,0,0,3209.66,5.26,21.03,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,141.61,0,273.79,0,0,0,97.56,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,985,78.67,0,0,2549.05,3.15,6.29,0,283.23,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,13,527,0,8,0,0,6,4,0,1,7,3,0,0,1,19,0,0,8,219,4,0,2,10,1,0,214,1,1,26,43,0,0,0,0,0
 24-34,0,0,0,0,3.28,729.74,0,57.46,0,1.64,7.39,0.82,0.82,0.82,4.93,3.28,0,0,0,29.55,3.28,0.82,9.85,436.7,1.64,8.21,4.93,0,5.75,0,0,0,0.82,5.75,100.14,0,0,27.91,0,1.64
 36-46,0,0,0,0,2.42,216.73,0,65.26,0,0,7.25,0,0,0.81,3.22,0,0,0,0,14.5,2.42,1.61,3.22,250.56,0.81,4.03,0.81,0,3.22,0,0,0,0,0,71.7,0,0,8.86,0,0.81
 48-58,0,0,0,0,1.72,127.38,0,84.35,0,0.57,13.2,0,0,0.57,0.57,1.15,0,0,0,20.66,6.31,1.15,1.72,81.48,0,1.72,0,0,2.3,0,0,0,0,0,25.82,0,0,18.94,0,1.15
 60-70,0,0,0,0,1.96,74.6,0,58.89,0.98,0,11.78,0,0,0,1.96,0,0,0,0,18.65,0,0.98,0,43.19,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,0.98,15.7,0,0.98
 72-82,0,0,0.98,0,2.94,138.41,0,36.32,0,0,13.74,2.94,0,0,10.8,0.98,0,0,0,15.71,4.91,0.98,0.98,57.92,0,0,2.94,0,0.98,0,0,0,0,0,2.94,0.98,0,17.67,0,0
 84-94,0,0,1.06,0,4.25,158.24,0,31.86,0,0,7.43,0,0,0,18.05,1.06,1.06,0,0,11.68,4.25,0,4.25,26.55,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,13.81,1.06,0
 96-106,0,0,1.09,0,7.65,236.05,0,21.86,1.09,2.19,3.28,2.19,0,0,14.21,2.19,0,1.09,2.19,19.67,6.56,2.19,0,21.86,0,2.19,1.09,0,5.46,0,0,0,0,0,2.19,0,0,12.02,0,0
108-118,0,0,0,0,7.66,251.24,0.77,19.92,1.53,0.77,5.36,0.77,0,0,9.19,3.83,1.53,0,0,15.32,3.83,1.53,0.77,28.34,0,0.77,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0,18.38,0,0
120,0,0,0,0,7.84,346.88,0,9.8,0,0,0,0,0,0,7.84,7.84,0,0,1.96,7.84,0,1.96,0,35.28,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,21.56,0,0
