stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,9,3,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,17,0,0,0,0,0,3,2,0,0,1,2,0,0,0,0,0
 24-34,0,0,1.64,0,0,6.57,0.82,0.82,0.82,0,0,0,0.82,0,0,0.82,0,1.64,0.82,0,0,36.12,0,0,0,0,0,7.39,0,0,0,1.64,5.75,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,8.06,0,0,0.81,0,1.61,0,0,0,0.81,0,0.81,4.83,0,0,0,27.39,0.81,0,1.61,0,0,6.45,0,2.42,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,11.48,0.57,0.57,6.31,0,0,1.15,0.57,0.57,0,0,0,9.75,0.57,0.57,0.57,25.25,0.57,0,0,0.57,0,5.74,0,0.57,0.57,0,4.59,0,0,2.3,0,0.57
 60-70,0,0,4.91,0,0,26.5,2.94,0.98,6.87,4.91,0,0.98,0,0,0.98,0.98,0,18.65,0.98,1.96,3.93,41.22,0,0,0,0,0.98,7.85,0,0.98,0,0,4.91,0,0,2.94,0,0.98
 72-82,1.96,0,6.87,1.96,0,16.69,0,1.96,6.87,9.82,0,1.96,0.98,0,0.98,0,0.98,31.41,0.98,1.96,3.93,39.27,0,0,0,0,0,8.83,0,0.98,0,0,1.96,0,0,4.91,0,0.98
 84-94,0,0,3.19,0,0,19.12,1.06,3.19,6.37,16.99,0,6.37,2.12,2.12,0,1.06,1.06,19.12,2.12,1.06,1.06,16.99,0,0,2.12,0,0,24.43,0,1.06,0,0,1.06,0,0,4.25,1.06,1.06
 96-106,0,0,13.11,1.09,0,12.02,2.19,1.09,7.65,7.65,1.09,3.28,3.28,1.09,0,2.19,1.09,13.11,0,1.09,3.28,22.95,1.09,2.19,5.46,0,0,22.95,0,3.28,0,0,1.09,0,1.09,4.37,1.09,1.09
108-118,0.77,0.77,9.96,0,0,12.26,3.06,1.53,6.89,6.89,0,4.6,1.53,0.77,0.77,0.77,1.53,14.55,2.3,0.77,0.77,17.62,0.77,0.77,1.53,0,0.77,17.62,0,0.77,0,0,1.53,0.77,0,5.36,0.77,0.77
120,0,0,17.64,1.96,1.96,9.8,0,0,5.88,3.92,1.96,7.84,1.96,0,1.96,0,3.92,9.8,1.96,1.96,3.92,19.6,1.96,1.96,9.8,0,0,29.4,0,3.92,0,0,0,0,0,7.84,1.96,3.92
