stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,neural,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,4.03,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,5.16,0,1.15
 60-70,0,0,0.98,0,0,0,0,0,0,16.69,0,0
 72-82,0,0,0.98,0.98,0,0,0,0,0.98,22.58,0,0
 84-94,0,2.12,1.06,0,1.06,0,1.06,0,1.06,16.99,0,0
 96-106,0,1.09,3.28,0,0,0,0,0,0,17.49,0,0
108-118,0,0.77,3.83,0,0,0.77,0,0,0,12.26,0,0
120,0,0,0,0,0,1.96,0,0,0,9.8,0,0
