stage,blastomeres,epidermis,eye,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 14-21,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0
 72-82,0,2.94,0,0.98,0,0,0,0,1.96,0,0,1.96,0,0.98,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,10.93,1.09,3.28,0,0,0,1.09,2.19,0,1.09,0,0,1.09,0
108-118,0,6.13,0.77,1.53,0,0,0.77,0.77,1.53,0.77,0,0.77,0,0.77,0
120,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,0
