stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,44,0,0,0,1,0,0,5,1,1,16,21,0,1,0
 24-34,0,0,0.82,1.64,0,4.1,0,0,0,4.1,0.82,0,0,0,0,0,0,4.1,0.82,0,4.1,108.35,0,0.82,0.82,0,0,0,0.82,0,0,7.39,39.4,0,0.82,0.82
 36-46,0,0,0,0.81,0,8.06,0.81,0,0.81,15.31,0,0,0,0,0.81,0,0.81,9.67,0,0,3.22,211.89,0,1.61,0.81,0,0,0,0,0,0.81,0,39.48,0,1.61,0
 48-58,0,0,0,0,0,22.38,0.57,0,0,17.21,0,0,0.57,0,0,0,0,9.18,0,0,4.59,250.18,0,0.57,1.15,0,0,0,0,0,2.3,0,51.64,0,0.57,1.15
 60-70,0,0.98,0,0,0,76.56,0.98,0,0.98,17.67,0,0,0,0,0,0.98,0,8.83,0,0,3.93,341.57,0,0,3.93,0,0,0,0,0,0,0,53,0.98,0,0
 72-82,0,1.96,0,1.96,1.96,98.17,0,0,2.94,22.58,0,1.96,0,0,0,0,0,19.63,0.98,0,4.91,230.69,0,0.98,3.93,0,0,0,0,0,0,0,19.63,0,1.96,1.96
 84-94,0,0,0,1.06,0,83.9,1.06,1.06,1.06,11.68,0,0,1.06,0,0,0,0,9.56,1.06,0,2.12,113.64,0,0,2.12,0,0,1.06,0,0,0,0,7.43,1.06,3.19,0
 96-106,0,0,0,1.09,0,59.01,1.09,0,1.09,8.74,1.09,0,2.19,0,0,2.19,0,6.56,0,0,2.19,79.78,0,1.09,4.37,0,2.19,0,0,0,2.19,0,3.28,1.09,1.09,0
108-118,0,0,0,1.53,0.77,50.55,0.77,0,1.53,14.55,0.77,1.53,0.77,0.77,0,0.77,0.77,10.72,0,0.77,0,91.15,0,0,1.53,0,0,0,0,0,0,0,4.6,1.53,0,1.53
120,0,0,0,0,0,68.59,1.96,0,0,19.6,0,0,1.96,0,0,1.96,0,1.96,0,1.96,1.96,86.23,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0
