stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,25.18,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,5,0,3,0,0,0,2,1,0,0,0,5,0,0,0,0,3,0,0,3,102,3,0,1,3,1,1,3,3,0,2,56,0,0,2,0,0
 24-34,0,1.64,0,2.46,0.82,0,15.6,0,0.82,0.82,2.46,0,0,0,0,18.88,0,0.82,0,2.46,15.6,0.82,0,4.1,299.61,0,2.46,4.1,0,2.46,0,0,3.28,0.82,2.46,88.65,0,0,14.78,0,0.82
 36-46,0,0.81,0,4.03,0,0,62.84,0,0,1.61,11.28,0,0,2.42,0,6.45,0,0,0,4.83,10.47,0,0.81,3.22,498.71,3.22,8.06,0,0,1.61,0,0,1.61,0,0,120.85,0,0,7.25,0,0.81
 48-58,0,0,0,0.57,0.57,0,156.07,0,0,2.87,33.28,0,0,2.3,0,3.44,3.44,0.57,0,2.3,23.53,0,0.57,2.87,491.18,0,0.57,1.72,0,0,0,0,1.72,0,0,116.48,0,0,3.44,0,0.57
 60-70,0,0,0,0,0,0,324.88,0,0.98,0,50.06,1.96,0,0,0,3.93,5.89,0,0,0,40.24,0,2.94,2.94,664.49,0,1.96,2.94,0,1.96,0,0,0.98,0.98,0,65.76,0,0,7.85,0,2.94
 72-82,0,2.94,0,2.94,0,0,383.83,0,0,3.93,100.13,3.93,0.98,0.98,0,18.65,0.98,0,0,0,50.06,0,1.96,3.93,709.74,0,1.96,1.96,0,0,0,0,0.98,0,0,47.12,1.96,2.94,13.74,3.93,1.96
 84-94,0,2.12,0,8.5,1.06,0,209.22,0,1.06,0,50.98,1.06,0,0,1.06,22.3,8.5,2.12,0,2.12,29.74,0,5.31,5.31,315.43,0,2.12,3.19,0,4.25,0,0,3.19,1.06,0,28.68,3.19,3.19,8.5,2.12,3.19
 96-106,0,1.09,0,9.84,3.28,1.09,166.11,1.09,1.09,0,73.22,6.56,0,2.19,2.19,41.53,7.65,1.09,1.09,0,37.16,1.09,2.19,2.19,314.74,1.09,1.09,6.56,0,6.56,0,0,0,0,0,13.11,2.19,5.46,17.49,3.28,3.28
108-118,0,0.77,0,7.66,0.77,0,112.6,0,0,1.53,74.3,2.3,0,1.53,0,22.21,6.89,1.53,1.53,1.53,29.87,1.53,0,0.77,320.94,0,1.53,4.6,0,2.3,0,0,3.06,0.77,0,10.72,3.83,1.53,7.66,1.53,0.77
120,0,1.96,0,11.76,0,0,99.95,0,0,1.96,41.16,1.96,0,0,0,9.8,1.96,1.96,1.96,0,15.68,0,1.96,1.96,295.93,1.96,3.92,1.96,0,3.92,0,0,1.96,0,0,9.8,0,3.92,7.84,3.92,0
