stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,6.57,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,8.86,0,0,0,0,0.81,0
 48-58,0,0.57,3.44,0,0,0,0,0,0,0,2.87,0,0,3.44,0.57,1.15,0,0,0,0.57
 60-70,0,0,24.54,0,0,0.98,0,0,0.98,0,0.98,0,0,5.89,0,1.96,0,0,0,0
 72-82,0,0.98,49.08,0.98,0,2.94,0,0,0,0,1.96,0.98,0,8.83,0.98,4.91,0.98,0.98,0,0
 84-94,0,0,24.43,0,0,0,1.06,1.06,1.06,0,5.31,0,3.19,7.43,0,6.37,0,0,0,0
 96-106,0,0,24.04,0,0,2.19,1.09,0,0,0,6.56,0,1.09,6.56,0,17.49,0,0,0,0
108-118,0,0,22.98,0,0.77,0,0,0,1.53,0,3.06,0,0.77,4.6,0,10.72,0,0,0.77,0
120,0,0,23.52,0,0,0,1.96,0,0,1.96,3.92,0,0,3.92,0,7.84,0,0,0,0
