stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,15.77,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,1,0,0,0,0,1,1,2,0,0,0,3,3,34,1,0,0,1,0,8,7,9,0,0,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,1.64,0,0,0,0,0.82,6.57,1.64,46.79,0,0.82,0.82,0,2.46,0,0.82,5.75,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0.81,2.42,0.81,10.47,0,0,0,0,0,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,1.72,0,3.44,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0.98,0,6.87,0.98,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,0.98,1.96,0,0,0,0,0,6.87,1.96,4.91,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,2.12,0,1.06,1.06,2.12,0,0,0,0,0,9.56,2.12,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,2.19,0,1.09,7.65,1.09,6.56,0,0,0,0,2.19,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,1.53,0,0,0.77,0.77,0,7.66,0,0.77,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
