stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,55.82,0,1.64,8.21,0,0,4.93,0
 36-46,0,0,0.81,0,1.61,0,0.81,0,1.61,0,0,0,0,0.81,0,49.15,0,0,3.22,0,0,4.83,0
 48-58,0,0,0.57,0,5.74,0.57,0,0,6.31,0,0,0,1.15,2.3,0,32.71,0,1.15,4.02,0,0,2.3,0
 60-70,0,0,0.98,0,14.72,0,0,0,3.93,0,0.98,0,1.96,5.89,0,33.37,0,0,7.85,0.98,0,4.91,0
 72-82,0,0,0,0,9.82,0,0,0.98,1.96,0,0,0,7.85,6.87,0,45.16,0,0,19.63,0.98,0,2.94,0
 84-94,0,0,0,0,3.19,0,0,0,0,1.06,0,0,7.43,6.37,0,19.12,0,0,24.43,2.12,1.06,0,0
 96-106,0,0,0,1.09,3.28,0,0,0,3.28,0,0,1.09,9.84,7.65,0,20.76,0,0,37.16,2.19,0,1.09,0
108-118,0,0,0,0,1.53,0,0,0,1.53,0,0,0,8.43,6.13,0.77,36.77,0,0,27.57,1.53,0,0,0.77
120,0,0,1.96,0,3.92,0,0,0,0,0,0,1.96,1.96,5.88,0,19.6,0,1.96,29.4,3.92,0,0,0
