stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,59.62,0,0,0,0,6.45,0,0,0,0
 48-58,0,1.15,0,5.16,0,1.15,0,0,0,0.57,0.57,0,105.01,0,0,0,0,9.75,0,0,0,0
 60-70,0,1.96,0,35.33,0,0.98,0,0,0,0.98,0,1.96,236.55,0.98,0,0,0.98,14.72,0,0,0.98,0
 72-82,0,2.94,1.96,141.36,0,7.85,0.98,0,0,3.93,0.98,0,421.13,0,0,0,0,11.78,0,0,0,0
 84-94,0,2.12,0,70.09,1.06,6.37,0,0,1.06,2.12,0,0,174.17,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,2.19,74.31,0,5.46,0,0,0,6.56,0,0,174.86,0,1.09,2.19,0,4.37,0,0,0,1.09
108-118,0,2.3,1.53,55.15,1.53,4.6,0,0.77,0,2.3,0,0,187.66,0,0.77,0.77,0,3.06,0.77,0,0,0
120,0,1.96,0,86.23,0,0,0,0,0,0,0,0,209.7,0,0,0,0,3.92,0,0,1.96,0
