stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,25.45,0,0.82,0,6.57,0,0.82,0,0,0.82,0,0.82,0,2.46,1.64,0,0.82,14.78,2.46,0,0.82,0,0,0,0.82,1.64,0.82,4.93,0,0,0.82,0,0.82
 36-46,0,16.92,0,5.64,0.81,4.03,0,0,0,0,0,0,0.81,0,1.61,0,0,2.42,11.28,0,0,0,0,1.61,0,1.61,0.81,0,0.81,0,0,0,0,0
 48-58,0,14.35,0,28.69,0.57,4.02,0,1.72,0,0,1.15,0,4.02,1.15,2.3,0,0,0.57,13.77,0,0.57,0,0,0.57,0,1.15,0.57,0,1.72,0,0,1.15,0,0
 60-70,0,40.24,0,81.47,1.96,4.91,0,2.94,0,0,0.98,0,3.93,0,2.94,0,0,1.96,7.85,0,0.98,0.98,0,1.96,0,0.98,1.96,0,3.93,0,0,0,0,0
 72-82,0,30.43,0,69.7,1.96,1.96,0,15.71,2.94,0,0,0.98,5.89,0,10.8,0,0,0.98,18.65,0,0,1.96,0,0.98,0,0.98,1.96,0,3.93,0,0.98,0.98,0.98,0
 84-94,0,58.41,0,49.92,0,10.62,1.06,11.68,3.19,0,1.06,0,4.25,0,7.43,2.12,2.12,1.06,8.5,0,2.12,2.12,0,3.19,0,1.06,1.06,0,1.06,1.06,0,1.06,2.12,0
 96-106,0,43.71,1.09,26.23,0,5.46,2.19,13.11,2.19,1.09,0,0,2.19,0,8.74,0,0,1.09,14.21,0,1.09,1.09,0,0,1.09,2.19,1.09,0,0,3.28,1.09,4.37,2.19,0
108-118,0.77,65.11,0,22.21,0.77,18.38,0,9.96,2.3,0,0,0,5.36,0,3.83,0,0.77,2.3,9.96,0,0.77,0.77,0,4.6,0,3.83,0.77,0,0,3.06,1.53,1.53,1.53,0
120,0,148.94,0,33.32,1.96,39.2,0,27.44,9.8,0,0,0,11.76,1.96,5.88,7.84,1.96,1.96,21.56,1.96,0,1.96,0,3.92,0,3.92,1.96,0,0,1.96,0,3.92,0,0
