stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,10.51,0,2.63,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,1.64,11.49,0,0,0,2.46,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,45.92,0,0,0,4.03,0
 48-58,0,0,0.57,0,0,4.02,0.57,0,0.57,0,1.15,41.89,0.57,0,0,4.59,0
 60-70,0,0,0.98,0,0,12.76,0.98,0,0.98,0.98,3.93,44.17,0.98,0,0,2.94,0
 72-82,0,0,0,0,0,13.74,2.94,0.98,0,4.91,9.82,28.47,0,0,0,1.96,0.98
 84-94,0,0,0,0,0,6.37,0,12.74,0,23.36,7.43,21.24,0,0,2.12,4.25,1.06
 96-106,0,0,0,2.19,0,3.28,1.09,8.74,0,22.95,19.67,8.74,0,0,1.09,1.09,0
108-118,0,0,0.77,0,1.53,3.83,2.3,8.43,0,73.53,22.21,9.96,0,0,0.77,0,0
120,0,0,3.92,0,0,1.96,0,9.8,0,31.36,25.48,21.56,0,0,1.96,0,0
