stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,231.33,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,336.73,0,0,0,0,0,28.32,6.29,0,3.15,0,0,3.15,0
 14-21,0,1,0,0,0,0,0,0,0,48,0,0,0,1,0,2,0,0,0,2,1,0,2
 24-34,0,3.28,0,0,0.82,0,0,0,0,4.93,0,0,0,0,3.28,4.93,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0
 48-58,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0.57,0,0,0,0,0,0.57,0.57
 60-70,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0
 72-82,0,2.94,0,0,0,2.94,0,0,4.91,0,0,0,0,0,1.96,2.94,0,0,0,0,0,0,0
 84-94,0,5.31,0,0,0,1.06,1.06,0,2.12,1.06,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,3.28,0,1.09,0,3.28,0,0,2.19,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,2.3,0,0,0.77,10.72,0,0,3.83,0,0,0,0,0,4.6,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
