stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,1,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,8.06,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0.57,0,0,2.87,0,0,0,0,0,0,0,0,0.57,0,7.46,0,0,0,0.57,0,1.72,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.93,0,16.69,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,2.94,0,26.5,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,6.37,0,1.06,0,0,0,0,0,1.06,0,0,11.68,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0,4.37,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,3.06,0.77,0.77,0.77,0,0,1.53,0.77,0,3.06,0.77,5.36,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,1.96,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,0,5.88,1.96,0,0,0,0,1.96,0,0,0
