stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,2,0,0,3,8,2,0,1,0,0,2,0,5,5,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0.82,0,4.1,0,0,2.46,24.63,0,0,0,0,0,0,0.82,1.64,8.21,0,0,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,0.81,0,0.81,0,2.42,0,0,0.81,14.5,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,4.59,0,0,0.57,0.57,0,0,0,0,0,3.44,0.57,0,0,21.8,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,16.69,0,10.8,0,2.94,0,0,0,0,0,1.96,0,0.98,0,19.63,0,0.98,0,0,0.98,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,5.31,0,5.31,0,1.06,2.12,0,0,0,0,2.12,0,0,0,5.31,0,0,0,0,1.06,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,1.09,0,3.28,0,8.74,0,4.37,2.19,0,0,0,1.09,7.65,0,0,3.28,5.46,0,2.19,1.09,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,1.53,0,3.06,0,10.72,0.77,1.53,0,0,0,0,0,2.3,0,0,2.3,9.19,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,1.96,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,1.96,0,0,0
