stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
 24-34,0,4.1,0,0,0,1.64,0,0,0,0,0,0,5.75,0,0,0,0,4.1,0,0.82,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,4.03,0,1.61,0
 48-58,0,0.57,0,0,0,1.15,0,0,0,0,0,0,2.3,0,0.57,0.57,0,2.87,0,0.57,0
 60-70,0,6.87,0,0,0.98,0,0.98,0,0,0,0,0,3.93,0,0,0,0,7.85,0,0,0
 72-82,0,2.94,0.98,0,0,3.93,0,0,0,0,0,0,5.89,0,0.98,0,0,5.89,0,0,0
 84-94,0,7.43,0,1.06,0,2.12,0,0,0,0,1.06,0,2.12,0,0,1.06,0,14.87,0,0,0
 96-106,0,4.37,0,0,0,2.19,0,0,1.09,1.09,2.19,0,1.09,0,0,0,0,21.86,0,1.09,1.09
108-118,0,2.3,0,0.77,0,0.77,0,1.53,0,0,0.77,0.77,0,0,0,0,0,9.19,0,0,0
120,0,13.72,0,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0,0,0,11.76,0,0,0
