stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
 14-21,0,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,2,0
 24-34,0,0.82,0,0.82,1.64,0,0.82,0,0,1.64,0,0,0,7.39,0,0,0,0,0,1.64,0
 36-46,0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0.57,1.72,0,0,0,1.72,0,0.57,0,0,0,0.57,0
 60-70,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0.98,9.82,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,2.12,0,1.06,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0,0,0,0,1.53,0.77,0,0.77,0.77,0,0,0,0.77,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0
