stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,13.14,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,199.78,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,146,0,3,0,0,0,1,0,0,1,58,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,0,9.03,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,2.46,0,0,4.93,1143.45,0.82,12.31,0.82,0,0,1.64,0,0,1.64,195.36,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,53.98,0,0,0.81,9.67,0,0,0.81,0,0,0,0,0,0,7.25,0,0,1.61,2579.75,0.81,8.06,0,0,0,0,0,0,0,389.14,0,0,2.42,0.81
 48-58,0,0,0,0,9.75,1.15,179.03,1.72,0,0,32.71,0,0,0.57,0.57,0,1.15,0,0.57,1.72,17.21,1.15,1.15,4.02,2564.33,0.57,4.59,0.57,0,0.57,3.44,0,0,0,407.4,0,0.57,1.15,1.72
 60-70,0,0,0,0,4.91,0,307.22,1.96,0,0.98,23.56,0.98,0,0,0,0,0.98,0.98,0,0,16.69,0,0,0.98,2394.91,0.98,4.91,0.98,0,0,0,0,0,0,354.33,0,0,0.98,0.98
 72-82,0,0,6.87,0,10.8,0,214.98,0,0.98,2.94,36.32,0.98,0,0.98,0,0.98,0.98,0,0,0,23.56,0,0.98,1.96,1550.04,0,10.8,6.87,0,0.98,1.96,0,0,0,123.69,0.98,0.98,0,0
 84-94,0,0,2.12,0,12.74,3.19,169.93,0,1.06,1.06,27.61,0,0,2.12,1.06,0,1.06,0,0,0,24.43,0,2.12,1.06,752.98,0,3.19,9.56,0,0,4.25,0,2.12,0,92.4,0,0,3.19,0
 96-106,0,0,4.37,0,8.74,2.19,113.66,2.19,1.09,1.09,17.49,2.19,0,1.09,1.09,2.19,3.28,2.19,1.09,0,16.39,1.09,2.19,0,607.62,0,7.65,3.28,0,0,4.37,0,1.09,0,18.58,1.09,2.19,3.28,1.09
108-118,0,0,0.77,0.77,6.13,1.53,83.49,0,0.77,0,13.02,0.77,0,0.77,2.3,0,3.83,0.77,0.77,0.77,9.19,1.53,0,2.3,634.98,0,4.6,7.66,0,0,2.3,0,0.77,0,13.02,0.77,0,1.53,0
120,0,0,0,0,7.84,3.92,117.59,1.96,1.96,1.96,25.48,0,0,0,0,0,1.96,0,0,0,9.8,0,0,1.96,562.46,0,5.88,9.8,0,0,3.92,0,0,0,15.68,0,0,1.96,0
