stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,15.73,0,0,0,25.18,0,3.15,0,0
 14-21,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0,8.21,0,0,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,4.03,0.81,0,0,0,0,0.81,0.81,0
 48-58,0,0,1.72,0.57,0,0,0,0.57,1.15,0,2.87,0.57,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,0,0,0.98,0.98,0.98,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,1.96,0,0,0,3.93,1.96,2.94,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,0,1.09,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96
