stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,1,0,0,0,0,0,0,1,0,2,7,0,0,0,0,2,0,0,5,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,0,0,1.64,11.49,0,0.82,0,0,0,0,0,0,4.93,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,3.22,0,0,16.92,0.81,0.81,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0.57,4.02,0.57,0,1.15,0,0,0,2.87,0,0,12.05,0,0,0,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,6.87,0,0,4.91,0,0,0,8.83,0,0.98,10.8,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,8.83,0,1.96,1.96,0,0,0,3.93,0.98,0,7.85,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96
 84-94,0,0,10.62,0,0,2.12,0,1.06,1.06,3.19,0,0,4.25,0,1.06,1.06,0,0,0,1.06,0,1.06,1.06,0,0
 96-106,2.19,0,2.19,0,0,0,0,1.09,0,7.65,0,1.09,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,2.3,0,0,0.77,1.53,0,0,3.06,0,0,4.6,0.77,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,1.96,0,0,1.96,1.96,0,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
