stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,13.14,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,2,0,0,0,0,1,0,0,0,0,0,1,7,0,0,7,34,1,0,3,2,0,0,5,0,6,13,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,8.21,0,0,1.64,0,0,0.82,0.82,0,0,0,0.82,11.49,0,0,5.75,87.01,0,0,1.64,0,0,3.28,0,0,1.64,27.09,0,0,0,0,1.64
 36-46,0,0,0,0,1.61,0,14.5,0.81,0,5.64,0,0,0,0,0,0,0,0,15.31,0.81,0.81,4.03,103.13,0,0,0,0,0,2.42,0,0,0,21.75,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,22.38,0,0.57,6.89,0.57,0,0,0,0,0,0.57,0,13.2,0,0,2.3,53.36,0.57,0.57,0,0,0,2.3,0,0,0,13.2,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,44.17,0,0.98,14.72,0.98,0,0,0,0,0.98,0,1.96,18.65,0.98,0,2.94,76.56,0,0,0,0,0,2.94,0,0,0,10.8,0,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,0,27.49,0,0.98,13.74,0.98,0,0,0.98,0,0,0,0,30.43,0,0,5.89,50.06,0,0.98,0,0,0,0.98,0,0,0,8.83,1.96,0,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,21.24,1.06,0,8.5,1.06,0,0,0,2.12,2.12,0,0,12.74,0,0,4.25,26.55,0,0,1.06,0,0,5.31,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,0,9.84,0,1.09,5.46,0,0,0,0,0,0,1.09,0,9.84,0,0,3.28,21.86,1.09,1.09,1.09,0,1.09,3.28,0,1.09,0,0,0,0,4.37,0,0
108-118,0,0,0.77,0,3.06,0,6.13,0.77,0,5.36,0,0,0,0,1.53,0,0,0,6.13,0,0,0,22.21,0,0.77,0,0,0,3.06,0,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,0,1.96,7.84,0,1.96,9.8,0,0,0,1.96,0,0,0,0,9.8,0,0,0,17.64,1.96,0,5.88,0,0,3.92,0,0,0,1.96,0,0,0,0,0
