stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,0,47.32,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,44.06,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,1,0,10,1,0,0,6,0,1,0,0,0,6,0,4,0
 24-34,0,0,0,1.64,0,0,22.98,0,0.82,0.82,13.95,0,4.93,0,0,0,0.82,0.82,15.6,0
 36-46,0,0,0,0.81,0,0.81,8.86,0,0.81,0,8.06,0,8.86,0,0,0,3.22,0,22.56,0
 48-58,0,0,0,0,0.57,0,7.46,0,0.57,0,5.16,0,8.03,0,0,0,0,0,16.07,0
 60-70,0,0,0,0.98,0.98,0,5.89,0,0,0,3.93,0,4.91,0.98,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,0,5.89,0,1.96,0,2.94,0,18.65,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,1.06,0,4.25,0,0,0,2.12,0,5.31,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,0,3.28,0,16.39,2.19,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,0,6.13,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,5.88,0,3.92,3.92,0,0,0,0,1.96,0
