stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,1.72,0,0,1.15,0,0,0,0,0,0,5.16,3.44,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,18.65,1.96,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,1.96,0,5.89,0,0,0,0,0.98,0,0,0,0,119.76,0.98,1.96,3.93,0,11.78,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,1.06,394.02,1.06,4.25,1.06,0,14.87,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06
 96-106,0,5.46,5.46,0,22.95,0,0,10.93,2.19,0,0,0,1.09,0,712.54,1.09,2.19,0,0,79.78,0,2.19,1.09,14.21,0,0,0,0,0,0,0
108-118,0.77,6.89,3.06,2.3,9.96,0.77,0.77,3.06,3.83,0,0,0.77,0,0,1397.12,0,3.83,0.77,1.53,87.32,0.77,1.53,1.53,1.53,0,0.77,1.53,0.77,0,1.53,3.06
120,0,5.88,0,0,7.84,0,0,1.96,1.96,0,0,0,0,1.96,725.12,0,5.88,0,0,58.79,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0
