stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,7.89,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,22.03,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,1,1,0,1,1,5,6,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0.82,0,0.82,1.64,0,4.93,0,0,22.98,0,0,0.82,0,2.46,0,0,0.82,4.93,0,0,0,0
 36-46,0,0,0,0,1.61,0.81,7.25,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0,0,6.45,0.81,1.61,0,0,3.22,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,1.72,0,3.44,0,2.87,0,0,0,0,0.57,0,0,0.57,1.72,0,0,5.74,0.57,0,0.57,0,1.72,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,1.96,0,10.8,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0,7.85,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,2.94,2.94,0.98,1.96,0,0,0,0,0,0,0,0,3.93,0.98,1.96,10.8,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,6.37,1.06,0,2.12,0,1.06,0,1.06,0,0,0,2.12,0,0,8.5,0,1.06,0,0,9.56,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,1.09,2.19,5.46,0,3.28,2.19,0,0,0,0,0,0,0,4.37,0,0,6.56,0,0,2.19,0,4.37,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,5.36,1.53,0,0.77,2.3,0.77,0,0,0.77,0.77,0.77,0,0,1.53,0,0.77,2.3,0,1.53,1.53,0,3.06,0,0,0,1.53,0,0.77,0,0.77
120,0,0,1.96,0,7.84,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0
