stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm
  3-4,13.18,1067.41,0,0,0,0,0,0,0,65.89
  5-6,18.39,827.5,0,0,0,0,12.26,0,12.26,30.65
  7-9,2.63,15.77,5.26,0,13.14,7.89,197.15,13.14,76.23,0
 10-12,0,3.15,0,3.15,22.03,0,100.7,3.15,9.44,0
