stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,12.31,0,0,0,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,3.22,0,0,0.81,52.37,0.81,1.61,0.81,0,0,0,0,8.86,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,4.59,0,0,1.15,0,0,0,0,0,1.15,1.15,0,0,50.49,0,0,0,0,0.57,0,0,8.03,0,1.72,0
 60-70,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,0,0,0,1.96,0,0,133.49,0,0,0,0,0,0,0,14.72,0,0.98,0
 72-82,0,0,0,0,0,0,0,36.32,0,0,5.89,2.94,0,0,0,0,2.94,4.91,0,1.96,175.72,0,0.98,3.93,0,0,0,0,5.89,0.98,1.96,0
 84-94,0,0,0,0,1.06,0,0,26.55,0,0,5.31,0,0,1.06,0,1.06,11.68,3.19,0,0,92.4,0,1.06,0,0,0,0,0,9.56,0,2.12,0
 96-106,0,0,0,0,2.19,1.09,0,18.58,0,0,7.65,3.28,0,0,1.09,2.19,5.46,3.28,0,0,72.13,0,0,1.09,0,1.09,0,0,2.19,0,2.19,0
108-118,0,0,0,0,0.77,0.77,0.77,17.62,0,0,3.83,0.77,0,0,0,2.3,4.6,0.77,0.77,0,104.94,0,1.53,0.77,0,0,0,0,1.53,0,0.77,0.77
120,0,0,0,0,1.96,0,0,13.72,3.92,0,0,0,1.96,0,0,0,1.96,3.92,0,1.96,82.31,1.96,0,3.92,0,0,0,0,3.92,0,0,0
