stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,13,0,1,0,0,0,1,0,0,1,8,0,0,1,0,0
 24-34,0,0,0,0.82,1.64,0.82,2.46,0,0,0,1.64,0,0,0,2.46,1.64,0,0.82,0.82,4.1,2.46,0,0,0,79.62,0,4.93,0.82,0,0,3.28,0.82,0,0.82,40.22,0,0,0,0,1.64
 36-46,0,0,0,0,0.81,0,9.67,0,0,0,1.61,0,0,0.81,4.83,0.81,0,0,0,4.83,0.81,1.61,0,0.81,167.58,0,3.22,0.81,0,0,1.61,0,0,0,49.95,0,0,3.22,0,0.81
 48-58,0,0,0,0,0,0,42.46,0,0,0,3.44,0,0,0.57,6.31,0,0,0,0,2.87,5.16,0.57,0,0.57,177.31,0,1.72,0.57,0,0,2.3,0,0,0,32.13,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0.98,167.84,0,0,0,6.87,0.98,0.98,0.98,14.72,0,0.98,0,0,0.98,8.83,0,0,0,294.46,0,6.87,0.98,0,0,1.96,0,0.98,0,46.13,0,0,2.94,0,0
 72-82,0,0,1.96,0,1.96,1.96,290.57,0,0,2.94,18.65,0.98,0,0,19.63,0,0.98,0.98,3.93,1.96,18.65,0.98,0.98,0,332.78,0,5.89,1.96,0,1.96,1.96,0,0,0,30.43,0,0.98,3.93,0,1.96
 84-94,0,0,1.06,0,5.31,1.06,202.85,0,0,1.06,14.87,2.12,0,0,32.92,1.06,2.12,0,1.06,8.5,9.56,1.06,0,1.06,170.99,1.06,1.06,3.19,0,0,5.31,0,0,0,21.24,0,2.12,0,2.12,0
 96-106,0,0,0,0,4.37,1.09,212.01,1.09,1.09,0,14.21,1.09,0,0,37.16,1.09,0,1.09,2.19,6.56,12.02,0,0,0,191.25,0,5.46,2.19,0,0,5.46,0,0,0,17.49,0,0,3.28,0,0
108-118,0,0,0,0,7.66,0.77,148.6,0,0.77,0,9.19,2.3,0,0.77,22.98,0,2.3,0.77,0.77,3.06,8.43,0,0.77,1.53,168.51,0,4.6,7.66,0,0,3.83,0,0,0,5.36,0.77,0,3.83,0,0.77
120,0,0,0,0,9.8,0,84.27,0,1.96,0,13.72,3.92,0,0,41.16,1.96,0,1.96,0,0,3.92,0,3.92,0,178.34,0,3.92,3.92,0,0,7.84,0,0,0,9.8,0,0,1.96,0,0
