stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,7.39,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,4.03,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,1.15,0,0,0,0,2.3,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,3.93,5.89,0,3.93,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,5.31,2.12,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,7.65,3.28,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,6.89,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0
