stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,12.59,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,2,1,1,0,50,0,0,0,1,0,0,0,0,2,7,57,56,5,20,5,0,0,1,93,3,5,184,0,0,0
 24-34,0,0,0,4.93,0,0.82,0.82,1.64,50.89,0,0.82,0,0,0,1.64,0,0,9.85,18.88,68.13,5.75,32.83,7.39,0,0,0,0,31.19,0,4.1,127.23,0,0,0
 36-46,0,0.81,0,3.22,0,4.03,1.61,1.61,37.87,0,0.81,0,0,0,0,0,0,16.11,2.42,61.23,4.03,29.81,4.03,0,0,0,0.81,16.92,1.61,0,87.01,0,0,0
 48-58,0,0,0,0.57,0,5.74,0,4.02,39.02,0,0,0.57,0,0,1.72,0,0,32.71,2.3,30.41,2.87,17.79,2.87,0,0,0,0,4.02,0,0,57.38,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,32.39,0,0,0,0,0,4.91,0,0,68.71,0.98,36.32,3.93,25.52,3.93,0,0,0,0,5.89,0,0,38.28,0,0,0
 72-82,0,0.98,0,0,0,16.69,0,2.94,41.23,2.94,0,0,0,0,1.96,0,0,62.83,3.93,16.69,0,40.25,9.82,0,0,0,0,2.94,0,0,23.56,0.98,0,0.98
 84-94,0,2.12,0,0,0,16.99,0,3.19,32.92,2.12,0,0,0,0,5.31,0,0,67.97,3.19,14.87,0,30.8,19.12,0,0,1.06,0,5.31,0,0,14.87,0,0,0
 96-106,0,4.37,1.09,1.09,0,13.11,0,0,26.23,3.28,0,0,0,0,8.74,0,1.09,34.97,0,14.21,0,69.94,28.41,0,0,0,0,3.28,0,0,13.11,0,1.09,0
108-118,0,1.53,0,1.53,0,10.72,0,0,18.38,1.53,0,0,0,0,5.36,0,0,23.74,1.53,6.89,0,33.7,15.32,0,0.77,0,0,3.06,0,0,8.43,0.77,0,0
120,0,1.96,0,0,0,7.84,1.96,0,9.8,1.96,0,0,0,1.96,5.88,1.96,0,17.64,1.96,5.88,0,17.64,3.92,0,0,0,0,3.92,0,0,3.92,0,0,0
