stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,30.65,0,0,0,0,12.26,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,39.43,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,2.46,0,1.64,0,0,0,0,1.64,0,0,0,15.6,0,0.82,0,0,0.82,0.82,3.28,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,14.5,0,1.61,0,0,0.81,0,4.03,0,0.81,0
 48-58,0,0,0,0,0.57,4.59,0.57,1.72,0,0,0,0,1.15,0,0,0,18.36,0,0,0,0,0,0,6.31,0,0,0
 60-70,0,0,0,0.98,0,7.85,0,0.98,0,0,0,0.98,0.98,0,0,0,28.46,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0,0,0,10.8,0,6.87,0,0.98,0,0,2.94,0,0,0,27.49,0,0.98,0,0,0,0,5.89,0,0,0.98
 84-94,0,0,0,0,1.06,10.62,0,0,0,0,0,1.06,3.19,0,1.06,0,7.43,0,0,1.06,0,2.12,0,3.19,0,1.06,0
 96-106,0,0,0,0,0,6.56,0,2.19,0,0,0,0,2.19,0,0,0,12.02,0,3.28,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,8.43,0,0.77,0,0,0,0.77,1.53,0,0,0,12.26,0,0.77,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,7.84,1.96,1.96,0,13.72,0,0,0,0,1.96,0,0,0,0,0
