stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,66.09,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,1,2,7,0,0,0
 24-34,0,0,0,2.46,0,0,2.46,0,0,0,0,0,0,4.93,0,0,42.68,0,0,0,0,0,0,0.82,0,1.64,10.67,0,0.82,0.82
 36-46,0,1.61,0,7.25,0,0,1.61,0.81,0,0,0,0.81,0,1.61,0,2.42,29.81,0,0,0,0,0,0,0,0,0,13.7,0,0.81,0.81
 48-58,0,1.15,0,12.05,0,0.57,4.02,0,0,0,0.57,0,0,8.03,0,1.15,27.54,0,0,1.15,0,1.15,0,0.57,0.57,0,5.16,0,0.57,0
 60-70,0,0.98,0,4.91,0,0,8.83,0.98,0,0,0,0,0.98,0.98,0.98,1.96,18.65,0,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0.98,0.98,10.8,0,0,13.74,0,0,0,0,0,0.98,7.85,0,1.96,32.39,0,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0
 84-94,0,1.06,0,4.25,0,0,6.37,0,0,0,0,0,0,4.25,1.06,4.25,13.81,1.06,0,0,0,0,0,0,0,0,2.12,1.06,0,0
 96-106,0,2.19,0,6.56,0,1.09,8.74,0,0,0,0,0,0,7.65,0,1.09,12.02,0,0,2.19,0,1.09,0,1.09,0,0,0,0,2.19,1.09
108-118,0,0.77,0,4.6,0.77,0.77,6.13,0.77,0,1.53,0,0,0,3.06,0,3.06,9.19,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0.77,0
120,0,1.96,0,1.96,0,0,1.96,0,0,5.88,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
