stage,epidermis,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0.57,0.57
 60-70,0.98,0.98,0,0,2.94,0,0.98,1.96,0,0,0,0,0
 72-82,0,2.94,0,0,2.94,0,0,1.96,0,0,0,0,0
 84-94,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,1.09,3.28,0,1.09,8.74,1.09,0,3.28,1.09,1.09,0,1.09,0
108-118,0,0.77,0,0,4.6,0.77,0,3.06,0,0.77,0,0,0
120,0,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0
