stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,9,0,0,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,0.82,0,0,6.57,0,0,0,0,0.82,2.46,0,0,0,170.74,0,1.64,0,0,0,0,0,0,65.67,0,0,0,0,0
 36-46,0,0,0,0.81,0,10.47,0,0,0.81,1.61,0,0,8.06,0,0.81,0,0,0,5.64,0,0,0.81,463.26,0.81,0,0.81,0,0,0,0,0,140.19,0,0,0,0,0.81
 48-58,0,0,0,1.72,0.57,34.43,0,1.15,1.72,6.31,0,0,9.18,0,1.72,0.57,0,0.57,12.05,0,0,1.72,565.77,0.57,1.15,0,0,0.57,0,0,0,154.35,0,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,88.34,0,0,0,10.8,0,0,7.85,0.98,0,0,0,0,3.93,0,0,0,1162.12,0.98,2.94,2.94,0,2.94,0,0,0,226.73,0,0,0,0,0
 72-82,0,0.98,0,7.85,5.89,149.21,0.98,0.98,0.98,25.52,0,0,9.82,0,2.94,0,0.98,0,32.39,0.98,0,1.96,1219.22,0.98,1.96,1.96,0,0.98,0,0,0,151.18,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,7.43,3.19,140.19,0,0,1.06,27.61,0,0,15.93,1.06,4.25,0,0,0,14.87,0,2.12,0,636.16,0,2.12,6.37,0,3.19,0,0,1.06,77.53,0,1.06,1.06,0,2.12
 96-106,0,0,0,6.56,3.28,104.91,1.09,0,2.19,22.95,2.19,0,15.3,1.09,4.37,0,2.19,0,9.84,0,0,1.09,511.45,0,4.37,10.93,0,2.19,0,1.09,0,45.9,1.09,1.09,3.28,1.09,1.09
108-118,0,0,0,9.96,0.77,88.09,0,0,0.77,13.79,0,0,12.26,0,8.43,0.77,0.77,0,10.72,0.77,0,0.77,612,0,0.77,15.32,0,2.3,0,0,0,27.57,0.77,0,0.77,0.77,0
120,0,0,0,9.8,3.92,58.79,0,0,0,17.64,0,0,21.56,0,0,0,0,0,5.88,0,0,1.96,584.02,0,5.88,7.84,0,0,0,0,0,35.28,0,0,3.92,0,0
