stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,72.24,0,0,93.58,4.93,0,0,0,0.82,0,0,0,2.46,0,0,0,0
 36-46,0,0.81,0,0,2.42,0,0,6.45,0,0,0,0,0,0,0,240.09,0,0,88.62,16.11,0,0.81,0,1.61,0,0,0.81,3.22,0,0,0,0
 48-58,0,0,0,0,6.31,0.57,0,1.72,0.57,0,0.57,0,0.57,0,0,228.95,0,0,80.91,17.79,0,0,0.57,0.57,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,12.76,0,0,1.96,2.94,0,2.94,0.98,0,0,0.98,216.92,0.98,0,63.8,17.67,0,0,0,1.96,0,0,0.98,2.94,0,0,0,0.98
 72-82,0,0.98,0,0,26.5,0.98,0,0.98,1.96,0.98,4.91,0,0.98,0,0,258.18,0,0,65.77,30.43,0,1.96,0,0.98,0,0,0,1.96,0.98,0.98,0.98,0
 84-94,0,2.12,0,0,26.55,0,0,1.06,4.25,0,9.56,1.06,0,0,0,250.64,1.06,0,87.09,11.68,1.06,0,0,3.19,0,1.06,0,1.06,1.06,1.06,1.06,0
 96-106,0,5.46,2.19,1.09,21.86,0,0,1.09,4.37,0,15.3,0,1.09,2.19,0,229.5,1.09,0,73.22,24.04,0,1.09,1.09,2.19,0,0,0,0,0,3.28,3.28,1.09
108-118,0,3.06,0,0,13.02,0,0.77,1.53,3.06,0,5.36,0.77,0.77,0,0.77,208.34,0,0.77,72,28.34,0,0,0,2.3,0,0,0,0.77,0,1.53,0,1.53
120,0,5.88,0,0,7.84,0,0,0,1.96,0,15.68,1.96,0,0,0,190.1,0,0,82.31,19.6,0,0,0,0,0,0,0,0,0,0,0,0
