stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,39.43,10.51,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0.82,4.1,0,0,1.64,0.82,0,0,3.28
 36-46,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,0.81,0,0,3.22,0,0.81,1.61,0,0.81,0,2.42
 48-58,0,0,0,1.15,0.57,0,0.57,0,0,0,0,1.72,0,0,1.72,0,0,2.87,0,0.57,0,1.15
 60-70,0,0,2.94,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,0.98,0,0,1.96,0,0.98,0,0.98
 72-82,0,0,1.96,2.94,0,0,0,0,0,0.98,0.98,3.93,0,0,3.93,0,0,3.93,0,0,0,4.91
 84-94,0,0,0,0,0,0,1.06,0,0,3.19,0,0,0,0,1.06,0,0,5.31,0,0,0,5.31
 96-106,0,0,1.09,1.09,0,0,0,0,0,4.37,0,0,0,0,4.37,0,0,12.02,0,0,0,2.19
108-118,0,0,1.53,0.77,0,0.77,0,0.77,0,1.53,0,0,0.77,0,1.53,0,0,3.06,0,0.77,0.77,3.83
120,0,0,0,1.96,1.96,0,0,1.96,0,7.84,1.96,0,0,0,1.96,0,0,19.6,0,0,0,9.8
