stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,3492.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,2764.47,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,30.65,0,104.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,28.92,0,63.09,0,0,0,60.46,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,1004.17,34.17,0,0,339.1,0,10.51,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,28.32,0,0,0,25.18,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,453.16,44.06,0,0,188.82,0,6.29,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,23,1,0,5,0,0,0,1,2,0,0,0,1,0,0,0,10,0,0,11,104,2,1,1,1,0,2,0,22,0,1,16,32,0,0,0,0,0
 24-34,0,0,0,0,8.21,0.82,0,10.67,0,0,0,1.64,0,0,0,0.82,0,0.82,0.82,0,22.16,0,0.82,7.39,171.56,0,2.46,1.64,0,0,9.03,0,0,0.82,0,1.64,60.74,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,13.7,0,0,0,4.03,0,0,0,0,0,0,0,0.81,12.09,0,0.81,3.22,103.93,0,3.22,1.61,0,0,0,0.81,0,0.81,0,0,31.42,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,37.3,0.57,0,0,8.03,0,0,0,0,0,0,0,0,17.21,0,0,2.87,78.61,0,0.57,0.57,0,0,2.3,0.57,0,0,0,0,21.8,0,0,2.3,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,19.63,0,0,0,5.89,0,0,0,0,0,0,0,0,11.78,0,0.98,1.96,43.19,0,1.96,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,1.96,0,4.91,0,0,21.6,0,0,2.94,11.78,0.98,0,0,0.98,0.98,0.98,0,0,13.74,0,0,1.96,36.32,0,1.96,0.98,0,0,1.96,0,0,0,0,0,8.83,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,0,13.81,0,1.06,1.06,8.5,0,0,0,3.19,1.06,0,0,1.06,20.18,0,1.06,2.12,19.12,0,1.06,0,0,0,5.31,0,0,0,0,0,2.12,1.06,1.06,3.19,0,0
 96-106,0,0,0,0,1.09,1.09,0,8.74,0,0,1.09,8.74,1.09,0,2.19,4.37,1.09,0,0,0,9.84,0,0,2.19,30.6,0,3.28,1.09,0,1.09,1.09,0,0,0,0,0,3.28,0,0,1.09,1.09,0
108-118,0,0,0,0,7.66,0.77,0.77,6.13,0,2.3,3.83,17.62,3.83,0,0,3.83,3.06,0.77,3.06,1.53,10.72,0.77,0.77,4.6,34.47,0,4.6,1.53,0,0,21.45,0,0,0,0,0,0.77,1.53,0,0.77,0,0.77
120,0,0,0,0,29.4,1.96,0,13.72,0,0,1.96,7.84,3.92,0,0,3.92,0,0,1.96,0,29.4,0,0,3.92,56.83,0,5.88,3.92,0,0,39.2,0,0,0,0,0,1.96,1.96,0,1.96,1.96,0
