stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,2200.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1477.24,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,24.52,0,0,6.13,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,13.14,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,239.21,10.51,0,89.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,8,47,0,1,0,0,0,1,5,0,2,16,0,0,1,0,0
 24-34,0,0,0,0.82,13.13,0.82,0,0,2.46,0,1.64,0,0,2.46,0,0,0,1.64,0,34.48,0.82,18.06,31.19,0,0.82,0,0,0.82,0,4.93,0,0.82,13.95,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,2.42,0.81,0,0,4.03,1.61,0,0.81,0,0,0.81,0,1.61,36.26,1.61,8.06,13.7,0,2.42,0,0,0,0,0.81,0,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,7.46,0,1.15,0,3.44,0,0,0.57,0,0,0.57,0.57,0,24.67,3.44,4.02,6.31,2.87,0.57,0,0.57,1.72,0,0,0,0,6.89,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,12.76,0,0,0,3.93,1.96,0,0,0,0.98,0.98,0,0,24.54,3.93,1.96,8.83,1.96,0,0,0.98,0,0,0,0.98,0,2.94,0,1.96,0.98,0,0
 72-82,0,0,0,0,0.98,0,13.74,0,0,0,10.8,1.96,0,0.98,0.98,0,0.98,0.98,0,46.14,12.76,0,10.8,0,2.94,0,1.96,0,0,0,0,0,0.98,0,3.93,0.98,2.94,0.98
 84-94,0,0,1.06,0,4.25,0,13.81,0,0,1.06,5.31,3.19,0,1.06,0,0,0,0,1.06,18.05,5.31,5.31,7.43,1.06,0,0,1.06,4.25,0,1.06,1.06,0,1.06,1.06,0,2.12,2.12,0
 96-106,0,0,0,0,4.37,1.09,12.02,0,0,1.09,14.21,1.09,0,2.19,0,0,1.09,1.09,1.09,28.41,8.74,3.28,5.46,4.37,2.19,0,0,1.09,0,1.09,0,0,2.19,0,0,1.09,3.28,0
108-118,0,0,0,0,2.3,0,6.89,0,0,0.77,9.19,0.77,0,0,0,0,0,0,2.3,23.74,4.6,2.3,8.43,2.3,0.77,0,3.06,0.77,0,0.77,0,0,0.77,0,0,0,3.06,2.3
120,0,0,0,0,0,1.96,9.8,0,0,0,9.8,1.96,0,0,0,1.96,1.96,0,3.92,35.28,3.92,3.92,1.96,5.88,1.96,0,1.96,5.88,0,3.92,0,0,0,0,0,0,0,1.96
