stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,2,23,6,1,1,0,0,1,1,0,5,2,0,2,0,1
 24-34,0,0,0,1.64,0,0,2.46,0,0,0.82,0,0,3.28,2.46,0,0,0,3.28,29.55,0.82,7.39,32.01,4.1,4.93,0,0,0,0,0.82,0,0,2.46,0,22.98,0,9.85
 36-46,0,0,0,0.81,0,0,2.42,0,2.42,4.83,0,0,2.42,4.83,2.42,0.81,0,1.61,70.09,0,12.89,33.84,7.25,1.61,0,0,0,0,0.81,0,0,8.06,0,9.67,0,9.67
 48-58,0,0,0.57,0.57,0.57,0,3.44,0,1.15,14.92,0,0,1.72,2.3,1.15,0,0,2.3,96.4,0.57,6.89,23.53,1.15,2.3,0,0,0,0,0,0,0,7.46,0,8.03,0,10.33
 60-70,0,0,0,1.96,0,0,4.91,0,2.94,29.45,0,0,2.94,7.85,1.96,0,0,0.98,159.99,4.91,6.87,22.58,1.96,3.93,0,0,0,0,0,0,0,3.93,1.96,11.78,1.96,12.76
 72-82,0,0,0,0.98,0,0,13.74,0,4.91,30.43,0,0,4.91,6.87,0,0,1.96,0,157.07,5.89,5.89,22.58,0.98,3.93,0,2.94,0,0,0,0,0,6.87,8.83,13.74,7.85,8.83
 84-94,0,0,0,1.06,1.06,0,26.55,0,5.31,23.36,0,1.06,1.06,9.56,7.43,1.06,0,0,128.51,9.56,11.68,14.87,4.25,7.43,0,0,0,0,2.12,0,0,1.06,5.31,20.18,3.19,14.87
 96-106,0,0,0,1.09,0,0,14.21,0,2.19,25.14,1.09,0,2.19,8.74,4.37,2.19,1.09,0,93.98,3.28,6.56,16.39,3.28,12.02,0,1.09,0,0,2.19,0,0,3.28,3.28,16.39,8.74,14.21
108-118,0,0,0,1.53,0.77,0.77,15.32,0.77,1.53,17.62,0.77,0,0,16.09,7.66,0,0,0.77,69.7,3.06,1.53,15.32,1.53,12.26,0,6.89,0,0,2.3,0,0,2.3,2.3,10.72,2.3,14.55
120,0,0,0,1.96,0,0,11.76,0,3.92,13.72,1.96,0,0,9.8,1.96,0,0,0,47.03,3.92,3.92,9.8,1.96,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,9.8,0,0
