stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,22.03,0,0,69.23,0,0,0,44.06,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,12,19,14,0,22,0,64,0,0,0,0,0,0,0,0,2,0,1,540,2,0,0,0,0,0,0,3,0,0,0,368,0,0,0
 24-34,0,18.06,0.82,6.57,0,4.1,0,77.98,0,0,0.82,0,0,0,0.82,0,1.64,0,1.64,679.67,0,0.82,0,0,0,2.46,0,0,0,0.82,1.64,383.34,0,0.82,0
 36-46,0,8.06,0,0.81,0,12.09,0,127.3,0,0,0,0,0,0,0,0,3.22,0,0,735.58,0,0.81,0.81,0,0,0.81,0,0,0,0,0,332.74,0,0.81,1.61
 48-58,0,4.59,0,3.44,1.15,28.69,0.57,192.8,0,0,0,0.57,0,0,0,1.72,6.89,0,2.3,599.63,0,1.15,0,0,0,1.15,0,0,0,0,0,144.03,0,1.15,1.15
 60-70,0,6.87,0,0,0,24.54,0,212.99,3.93,0,0,2.94,0,0,0.98,0,7.85,0,3.93,482.91,0,0,0,0,0,0,0,0,0,0,0,55.95,0,0,0.98
 72-82,0,31.41,0,2.94,1.96,46.14,0.98,232.65,10.8,0,0,0,0,0.98,1.96,0,9.82,0.98,0,332.78,0,0,0,0,0,2.94,0,0,0,0,0,21.6,0,0.98,2.94
 84-94,0,25.49,1.06,2.12,5.31,38.23,0,183.73,16.99,0,0,0,1.06,1.06,5.31,0,10.62,2.12,1.06,217.72,0,0,0,0,1.06,2.12,0,0,1.06,0,0,13.81,2.12,0,1.06
 96-106,0,36.06,0,6.56,1.09,39.34,0,134.42,20.76,0,0,1.09,0,1.09,2.19,0,8.74,0,1.09,149.72,1.09,0,0,0,0,2.19,1.09,0,0,0,0,9.84,0,0,1.09
108-118,0,22.98,0,4.6,0.77,14.55,0,121.02,14.55,0,0,0.77,0.77,0,5.36,0,7.66,0,2.3,188.43,0,0,0,0,0,3.06,0,0,0,0,0,6.13,0,0.77,0.77
120,0,17.64,0,3.92,1.96,25.48,0,129.35,1.96,0,0,0,0,0,0,0,3.92,0,1.96,266.53,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0
