stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,9,0,2,11,0,0,0,0,6,6,3,0,1,0
 24-34,0,0,0,0,0.82,4.1,0,14.78,0,0.82,0,0,0,4.93,0,0,0,0,3.28,0,0,28.73,0,0,0.82,0,9.03,0,7.39,0,5.75,0
 36-46,0,0,0,0,0,17.72,0,23.36,0.81,0.81,0,0.81,0,2.42,0,0,0,0,8.86,0.81,0.81,34.64,0.81,0,0,0,9.67,0,8.06,0,3.22,1.61
 48-58,0,0,0,0,0,36.72,0,18.94,0.57,0,1.15,1.72,0.57,2.3,0,0,0,1.15,4.02,0,1.15,55.09,0.57,0,0,0,5.16,0,9.18,0,1.72,1.72
 60-70,0,0,0,0,0.98,53,0,18.65,0.98,0,1.96,2.94,0.98,0,0,0,0,0,6.87,0,0.98,49.08,0,0,0,2.94,6.87,0,10.8,0,1.96,2.94
 72-82,0,0,0,0,0.98,188.48,0,23.56,0,0,1.96,4.91,7.85,1.96,0.98,0,0.98,0,4.91,0,0,41.23,0,0,0,0,21.6,0,1.96,0,1.96,0
 84-94,0,0,0,0,1.06,144.44,0,19.12,0,1.06,0,1.06,26.55,0,0,1.06,1.06,0,2.12,0,1.06,23.36,0,0,0,0,37.17,0,3.19,1.06,2.12,1.06
 96-106,0,0,0,1.09,0,144.26,1.09,12.02,0,1.09,1.09,5.46,30.6,2.19,0,0,4.37,0,7.65,1.09,4.37,21.86,1.09,0,0,2.19,39.34,0,1.09,0,7.65,1.09
108-118,0,0,0,0,0,74.3,1.53,11.49,2.3,0,0.77,4.6,47.49,0,0,1.53,7.66,0,2.3,0,0,9.96,0.77,0,0,1.53,47.49,0,0.77,0,3.83,0
120,0,0,0,0,0,80.35,1.96,11.76,1.96,1.96,1.96,3.92,41.16,0,0,0,5.88,0,1.96,0,1.96,15.68,0,0,0,0,23.52,0,0,0,0,0
